Antidote Name,Location,Quantity,Store Name,Store Address,Phone Number
Atropine,New York,5,HealthPlus Pharmacy,123 Main Street, +1 212-555-1234
Naloxone,Los Angeles,10,Wellness Meds,456 Sunset Blvd, +1 310-555-5678
Digoxin Antibody,Chicago,7,City Med Pharmacy,789 Lake Shore Dr, +1 312-555-9012
Activated Charcoal,Houston,12,Quick Care Pharmacy,321 Houston Ave, +1 713-555-3456
Ethanol,Boston,8,City Drug Store,222 Beacon St, +1 617-555-6789
Flumazenil,San Francisco,6,Golden Gate Pharmacy,500 Bay St, +1 415-555-4321
Pralidoxime,Dallas,4,Texas Meds,654 Elm St, +1 214-555-8765
Methylene Blue,Seattle,9,Emerald Pharmacy,900 Pine St, +1 206-555-2345
Vitamin K,Miami,11,Sunshine Pharma,111 Ocean Dr, +1 305-555-7890


